Server_ID,Hostname,IP_Address,OS_Type,Server_Location,CPU_Utilization (%),Memory_Usage (%),Disk_IO (%),Network_Traffic_In (MB/s),Network_Traffic_Out (MB/s),Uptime (Hours),Downtime (Hours),Admin_Name,Admin_Email,Admin_Phone,Log_Timestamp,CPU_Status,Memory_Status,Availability (%)
536c9e75-40a1-4a74-8ca6-c6abaec13999,srv-web02,5dca26e20f5db891a2b83761c30b709f8dec13cda095e0ed7ddf8198bf394de8,Windows Server 2022,"Berlin, Germany",28.1,88.6,28.36,31.13,52.54,18.49,5.51,John Duarte,06fa21277cb96133751e971675ed256ed107959a21c82ae44ec61d6a1e744f34,4a924526447cfb06ceedc515853cbe266dc3a616b916d58f77f32d56e45a5328,2025-03-11 16:45:00,Normal,Normal,77.04166666666666
26bae71d-c025-4082-9484-ef7aa9e04836,srv-web02,da33ac4b5d8361cd95fd6e1cb0f0e5f3c99e94b4cea748ad960ef7db96efb84c,Ubuntu 20.04,"London, UK",49.72,84.35,73.89,123.34,97.1,19.71,4.29,Abigail Montgomery,190e21a7c1125de03fab4c8322539d2261b89a1f695dd009b4cfb41a909f2330,29496c7588a860f1e51f48452bbfcfec75edd784de352644bb0f0de934282cdb,2025-01-25 10:59:00,Normal,Normal,82.125
454de38a-5961-490f-9d46-d20663a36baf,srv-backup02,81cedbec6e5daaf5c5de52b3098eb3c5fa7a5a713a059fbf4dc8f680490272be,Red Hat Enterprise Linux,"New York, USA",44.72,57.64,14.94,69.6,112.81,18.64,5.36,David Jones,ea8bd6563fcdf9095ff0cb11365496d49fb69e681b1d37c668b6fbe5aa7dfe0d,bf8a7f53661c312aa138760f9964057a08a6c3e96df6169e2b55597189060026,2025-01-29 08:31:00,Normal,Normal,77.66666666666667
8b8a3f40-1b67-4fe6-a65e-93fd07f317f7,srv-web02,9c9f12f1cc26d0a3cd6ca7a9fe8ed65c7838ab7ca463d88bab48b284ce553048,Red Hat Enterprise Linux,"New York, USA",37.69,97.97,71.46,62.97,148.51,18.14,5.86,Dominic Richards,15939ddb032389f1381ce66e9a08367724cdf430501de83b6cfca99c710d4de1,0138116ea951ebe34ed67ca53989c434d74ade1925bd13e7b0aa7c88b5954b5b,2025-03-01 16:49:00,Normal,Critical,75.58333333333334
375cb3db-89d3-4705-af4a-8f829cce1928,srv-app02,37636e9c317b101f00ac62c6c806e991286a72664456ab9bb52c58cd287915d0,Windows Server 2022,"Tokyo, Japan",63.97,67.31,96.46,45.33,131.5,22.78,1.22,Paul Edwards,355df90c91b43b42217bbf3760e863decba7300ef975c6acc91a16bd169c176b,3d59156a0be829e249e864ebfe21b37a048b5664c8ef1f9cae05dd873c444fb9,2025-02-21 11:02:00,Normal,Normal,94.91666666666667
9a90becd-5be4-4d03-b1fa-1ffa70cb11f5,srv-app02,72386097766ccd04792fdeb8d6c7f7f51abc80acf45c0d568dfe4b4958147ad4,Ubuntu 20.04,"Tokyo, Japan",20.29,24.65,66.56,60.59,133.97,18.68,5.32,Thomas Pearson,3828ee769c2b593d1ab3c795a54e027b46d3cc99fc1a50cd5beb74464e9936f1,cdc322ad8061935f66db8a2a6b71b8e4147f2e1671a5015ce507efaddc772823,2025-02-13 19:44:00,Normal,Normal,77.83333333333333
c2ba6509-caa4-4720-8633-cb7565e9947c,srv-app03,20ea678ee8cd80cf7df8ca45e1626dda9b2322bb794e75970e2ef879afa687d5,Ubuntu 20.04,"Sydney, Australia",36.45,59.28,18.46,47.7,86.57,22.38,1.62,Richard Goodman,a88c5ae48b5b6b12b8b47ac3f409009b0ec3f5c713738de414a2cf676a3ddce5,fb83a1f798c1c5e012e1dc47a5449c7233e37d9ac2cc5083f2d34fa2aad11996,2025-03-09 14:58:00,Normal,Normal,93.25
8e52d19d-1e84-466e-8e25-d24ae27434ab,srv-web01,4f93cb9fe6242e817b34df1766767d4e438ac0a801efaba1b8fe8314e080aa4a,Ubuntu 20.04,"Tokyo, Japan",12.62,86.98,18.54,102.76,11.03,20.3,3.7,Jessica Day,eeead00101ad4306be390edde80e00555f5e49ef55e8ffe4c5d37ae33fb50792,dc20ce676956228f8e94ca4af05e7327cc9ae72d339ec2a462c2a06bb629aac9,2025-03-06 10:06:00,Normal,Normal,84.58333333333333
95de17b4-60ec-4ea0-a79c-7faecdb85275,srv-app03,922604f3c9a16a76894a9c59426394452e89c0cda257cefe8235139afb3bfdae,CentOS 8,"Sydney, Australia",75.49,73.48,93.03,29.02,22.0,20.49,3.51,Stephanie Petersen,4b40e37021c7791b8ac9d90fb3d75ca6f2a5957848b0e0cbb91fb0bdaaa7c7d9,4f97f5f2938aa18b21020eb16ea8d2f03cbdaad47ecf9bd0619a06b547306eb2,2025-02-24 14:29:00,Normal,Normal,85.37499999999999
4aa1fa83-c575-4d81-a1c7-f1ed5395a0f6,srv-analytics01,2f99871f4162feac3cf027bb8873dc681657b0c0aa5dfb2afbdb90107e2e568b,CentOS 8,"Tokyo, Japan",88.3,24.14,25.99,67.86,120.95,20.19,3.81,Aaron Marquez MD,822468f4b01f17c82073ea9dca4a0b053d883b9231ef393d55e839f1601666f6,284e94e637acba5c5f74ce12df31f59ebd31c189963a44c006af145cb03a0ba9,2025-02-20 18:41:00,Critical,Normal,84.125
28fe2731-7083-4dd0-97aa-e535ecd8842f,srv-api02,597c8ace853a4261e81d089bec980106ca07b824d5c0e5178a86c133825968a6,CentOS 8,"Berlin, Germany",12.99,58.45,27.97,72.81,122.67,19.96,4.04,Samantha Allen,a65ba2e2f6b0aadc78f30993c6cc3994c56566113c2d3ce1a933a894690e5993,6f30788110a0c3a94f295dfbfec969e5255d23f7bdb3c62c191c27600223920f,2025-02-18 03:53:00,Normal,Normal,83.16666666666667
c2596d33-afee-434c-ac03-a277135eabdd,srv-api03,f2f60c871df00d64e974f62e046234865f7a4e684c636390e35caf490d407161,Windows Server 2019,"London, UK",41.71,59.25,36.54,22.89,86.55,22.89,1.11,Allen Collins,ece5dfa77e3757bb513304a29e9b144dd3ff48e2442b4b7aafd81c2388035366,42b6b393983e01e783b949ee85a66462f3f4253fbcf2f7190529879bc590515e,2025-02-14 14:24:00,Normal,Normal,95.375
